sample-id,absolute-filepath,direction
AP-AV17-AV180216-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AP-AV17-AV180216-18S_S42_L001_R1_001.fastq.gz,forward
AP-AV17-AV180216-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AP-AV17-AV180216-18S_S42_L001_R2_001.fastq.gz,reverse
AP-AV23-AV180316-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AP-AV23-AV180316-18S_S43_L001_R1_001.fastq.gz,forward
AP-AV23-AV180316-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AP-AV23-AV180316-18S_S43_L001_R2_001.fastq.gz,reverse
AP-AV29-AV180420-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AP-AV29-AV180420-18S_S44_L001_R1_001.fastq.gz,forward
AP-AV29-AV180420-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AP-AV29-AV180420-18S_S44_L001_R2_001.fastq.gz,reverse
AP-AV41-AV180518-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AP-AV41-AV180518-18S_S45_L001_R1_001.fastq.gz,forward
AP-AV41-AV180518-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AP-AV41-AV180518-18S_S45_L001_R2_001.fastq.gz,reverse
AV12-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV12-18S_S1_L001_R1_001.fastq.gz,forward
AV12-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV12-18S_S1_L001_R2_001.fastq.gz,reverse
AV13-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV13-18S_S2_L001_R1_001.fastq.gz,forward
AV13-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV13-18S_S2_L001_R2_001.fastq.gz,reverse
AV14-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV14-18S_S3_L001_R1_001.fastq.gz,forward
AV14-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV14-18S_S3_L001_R2_001.fastq.gz,reverse
AV17-2-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV17-2-18S_S4_L001_R1_001.fastq.gz,forward
AV17-2-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV17-2-18S_S4_L001_R2_001.fastq.gz,reverse
AV18-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV18-18S_S5_L001_R1_001.fastq.gz,forward
AV18-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV18-18S_S5_L001_R2_001.fastq.gz,reverse
AV19-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV19-18S_S6_L001_R1_001.fastq.gz,forward
AV19-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV19-18S_S6_L001_R2_001.fastq.gz,reverse
AV22-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV22-18S_S7_L001_R1_001.fastq.gz,forward
AV22-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV22-18S_S7_L001_R2_001.fastq.gz,reverse
AV26-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV26-18S_S8_L001_R1_001.fastq.gz,forward
AV26-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV26-18S_S8_L001_R2_001.fastq.gz,reverse
AV32-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV32-18S_S9_L001_R1_001.fastq.gz,forward
AV32-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV32-18S_S9_L001_R2_001.fastq.gz,reverse
AV35-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV35-18S_S10_L001_R1_001.fastq.gz,forward
AV35-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV35-18S_S10_L001_R2_001.fastq.gz,reverse
AV38-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV38-18S_S11_L001_R1_001.fastq.gz,forward
AV38-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV38-18S_S11_L001_R2_001.fastq.gz,reverse
AV44-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV44-18S_S12_L001_R1_001.fastq.gz,forward
AV44-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV44-18S_S12_L001_R2_001.fastq.gz,reverse
AV47-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV47-18S_S13_L001_R1_001.fastq.gz,forward
AV47-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV47-18S_S13_L001_R2_001.fastq.gz,reverse
AV50-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV50-18S_S14_L001_R1_001.fastq.gz,forward
AV50-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV50-18S_S14_L001_R2_001.fastq.gz,reverse
AV53-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV53-18S_S293_L001_R1_001.fastq.gz,forward
AV53-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV53-18S_S293_L001_R2_001.fastq.gz,reverse
AV56-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV56-18S_S15_L001_R1_001.fastq.gz,forward
AV56-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV56-18S_S15_L001_R2_001.fastq.gz,reverse
AV59-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV59-18S_S16_L001_R1_001.fastq.gz,forward
AV59-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV59-18S_S16_L001_R2_001.fastq.gz,reverse
AV66-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV66-18S_S17_L001_R1_001.fastq.gz,forward
AV66-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV66-18S_S17_L001_R2_001.fastq.gz,reverse
AV69-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV69-18S_S18_L001_R1_001.fastq.gz,forward
AV69-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV69-18S_S18_L001_R2_001.fastq.gz,reverse
AV72-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV72-18S_S19_L001_R1_001.fastq.gz,forward
AV72-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV72-18S_S19_L001_R2_001.fastq.gz,reverse
AV75-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV75-18S_S20_L001_R1_001.fastq.gz,forward
AV75-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV75-18S_S20_L001_R2_001.fastq.gz,reverse
AV78-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV78-18S_S21_L001_R1_001.fastq.gz,forward
AV78-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV78-18S_S21_L001_R2_001.fastq.gz,reverse
AV81-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV81-18S_S22_L001_R1_001.fastq.gz,forward
AV81-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV81-18S_S22_L001_R2_001.fastq.gz,reverse
AV84-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV84-18S_S23_L001_R1_001.fastq.gz,forward
AV84-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV84-18S_S23_L001_R2_001.fastq.gz,reverse
AV90-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV90-18S_S24_L001_R1_001.fastq.gz,forward
AV90-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/AV90-18S_S24_L001_R2_001.fastq.gz,reverse
NEGPCR18SControl-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/NEGPCR18SControl-18S_S56_L001_R1_001.fastq.gz,forward
NEGPCR18SControl-18S,/vortexfs1/omics/huber/shu/slo-pier-weekly/raw_dir/NEGPCR18SControl-18S_S56_L001_R2_001.fastq.gz,reverse
